Time [s], Analyzer Name, Decoded Protocol Result
2.576414916666667,I2C,Setup Write to [0x50] + ACK
2.576521500000000,I2C,0xFF + ACK
2.576623750000000,I2C,0xFC + ACK
2.576747583333333,I2C,Setup Read to [0x51] + ACK
2.576840083333333,I2C,0x01 + ACK
2.576948666666667,I2C,0x00 + NAK
2.622574083333333,I2C,Setup Write to [0x50] + ACK
2.622680666666667,I2C,0xFF + ACK
2.622782916666667,I2C,0xEE + ACK
2.622906666666667,I2C,Setup Read to [0x51] + ACK
2.622999250000000,I2C,0x01 + ACK
2.623107666666667,I2C,0x01 + NAK
2.676329083333334,I2C,Setup Write to [0x50] + ACK
2.676435666666667,I2C,0xFF + ACK
2.676537916666667,I2C,0xE0 + ACK
2.693597166666667,I2C,Setup Write to [0x50] + ACK
2.693703750000000,I2C,0x00 + ACK
2.693806000000000,I2C,0x4E + ACK
2.716159833333333,I2C,Setup Write to [0x50] + ACK
2.716266416666667,I2C,0xFF + ACK
2.716368583333333,I2C,0xFE + ACK
2.733426750000000,I2C,Setup Write to [0x50] + ACK
2.733533333333333,I2C,0x00 + ACK
2.733635500000000,I2C,0x80 + ACK
2.755990416666667,I2C,Setup Write to [0x50] + ACK
2.756097000000000,I2C,0x2A + ACK
2.756199250000000,I2C,0x98 + ACK
2.773258250000000,I2C,Setup Write to [0x50] + ACK
2.773364916666667,I2C,0x06 + ACK
2.773467083333333,I2C,0x50 + ACK
2.819102583333333,I2C,Setup Write to [0x50] + ACK
2.819209250000000,I2C,0x28 + ACK
2.819311416666667,I2C,0x14 + ACK
2.836371083333333,I2C,Setup Write to [0x50] + ACK
2.836477666666667,I2C,0x00 + ACK
2.836579916666667,I2C,0x00 + ACK
2.858936250000000,I2C,Setup Write to [0x50] + ACK
2.859042833333334,I2C,0xFF + ACK
2.859145000000000,I2C,0xE0 + ACK
2.876204500000000,I2C,Setup Write to [0x50] + ACK
2.876311083333333,I2C,0x00 + ACK
2.876413333333333,I2C,0x00 + ACK
2.898832416666667,I2C,Setup Write to [0x50] + ACK
2.898939000000000,I2C,0x00 + ACK
2.899041166666667,I2C,0x00 + ACK
2.924562666666667,I2C,Setup Write to [0x50] + ACK
2.924669250000000,I2C,0xD2 + ACK
2.924771500000000,I2C,0x76 + ACK
2.924873750000000,I2C,0x00 + ACK
2.924975916666666,I2C,0x00 + ACK
2.925078166666667,I2C,0x85 + ACK
2.925180333333333,I2C,0x01 + ACK
2.925282583333333,I2C,0x01 + ACK
2.925384750000000,I2C,0xE1 + ACK
2.925487000000000,I2C,0x03 + ACK
2.925589250000000,I2C,0x00 + ACK
2.925691500000000,I2C,0x0F + ACK
2.925793750000000,I2C,0x20 + ACK
2.925895916666667,I2C,0x00 + ACK
2.925998083333333,I2C,0xF9 + ACK
2.926100333333333,I2C,0x00 + ACK
2.926202583333333,I2C,0xF6 + ACK
2.926304833333333,I2C,0x04 + ACK
2.926407083333333,I2C,0x06 + ACK
2.926509250000000,I2C,0xE1 + ACK
2.926611500000000,I2C,0x04 + ACK
2.926713750000000,I2C,0x0B + ACK
2.926815916666667,I2C,0xDF + ACK
2.926918166666667,I2C,0x00 + ACK
2.927020333333333,I2C,0x00 + ACK
2.927122583333333,I2C,0xE1 + ACK
2.927224750000000,I2C,0x04 + ACK
2.927327000000000,I2C,0x00 + ACK
2.927429166666667,I2C,0x14 + ACK
2.927531416666667,I2C,0xD1 + ACK
2.927633666666666,I2C,0x01 + ACK
2.927735916666667,I2C,0x10 + ACK
2.927838083333334,I2C,0x54 + ACK
2.927940333333333,I2C,0x02 + ACK
2.928042583333333,I2C,0x65 + ACK
2.928144833333334,I2C,0x6E + ACK
2.928247083333333,I2C,0x48 + ACK
2.928349250000000,I2C,0x65 + ACK
2.928451500000000,I2C,0x6C + ACK
2.928553750000000,I2C,0x6C + ACK
2.928656000000000,I2C,0x6F + ACK
2.928758250000000,I2C,0x2C + ACK
2.928860416666667,I2C,0x20 + ACK
2.928962666666667,I2C,0x77 + ACK
2.929064833333333,I2C,0x6F + ACK
2.929167083333333,I2C,0x72 + ACK
2.929269333333334,I2C,0x6C + ACK
2.929371500000000,I2C,0x64 + ACK
2.929473750000000,I2C,0x21 + ACK
2.951829250000000,I2C,Setup Write to [0x50] + ACK
2.951935833333333,I2C,0xFF + ACK
2.952038083333334,I2C,0xFA + ACK
2.969097833333334,I2C,Setup Write to [0x50] + ACK
2.969204416666666,I2C,0x00 + ACK
2.969306666666667,I2C,0x06 + ACK
2.991662833333333,I2C,Setup Write to [0x50] + ACK
2.991769500000000,I2C,0xFF + ACK
2.991871666666666,I2C,0xFE + ACK
3.008931833333333,I2C,Setup Write to [0x50] + ACK
3.009038500000000,I2C,0x00 + ACK
3.009140750000000,I2C,0x16 + ACK
